Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,1,NO BATIDÃO,slxughter,25,https://www.youtube.com/watch?v=GXioir-fujY
2,3,PASSO BEM SOLTO (Slowed),ATLXS,57,https://www.youtube.com/watch?v=NT4eF9YsYnM
3,2,KAMALI (Slowed),Akhmedov,3,https://www.youtube.com/watch?v=4W9I6-PTXIQ
4,12,Six Seven,Laurinha Costa & Dj Cabello & Dj Tchouzen & SoundMusic Original,2,https://www.youtube.com/watch?v=Md7kqHsWWs4
5,4,Bairi,Virat Jayal & Pradeep Solanki & Heena,8,https://www.youtube.com/watch?v=yrjDEU9F1bw
6,7,Bairan,Banjaare,5,https://www.youtube.com/watch?v=oafxkMv4xnc
7,5,TRILLIUM HARDTEKK,S3RL & Bearn,7,https://www.youtube.com/watch?v=OgiAdfUKJ3c
8,9,Friendships (feat. Leony),Pascal Letoublon,74,https://www.youtube.com/watch?v=1g3Toj4-RMg
9,6,Lutt Le Gaya,Shashwat Sachdev & Simran Choudhary,12,https://www.youtube.com/watch?v=VWCBZpvjZfc
10,8,Resenha Na Laje,Kew & DJGILCASTRO,10,https://www.youtube.com/watch?v=O7buVI-wk9I
11,13,Sheesha (Aakhya Mai Aakh Ghali Jo Bairan),Mitta Ror & Swara Verma,13,https://www.youtube.com/watch?v=aRNfSqsgrgE
12,10,TIKI TIKI (Slowed),QMIIR & SALIMA CHICA,12,https://www.youtube.com/watch?v=bEYiPCbHAtM
13,11,Tere Bina,A. R. Rahman & Chinmayi & Murtuza Khan & Qadir Khan,7,https://www.youtube.com/watch?v=9JDSGhhiOwI
14,23,MONTAGEM DOMER (Super Slowed),Paizo & DJ LXILL & DJ FallThox,3,https://www.youtube.com/watch?v=XURd55MFBCU
15,n/a,Ora Urus (feat. Justy Aldrin Wizz Baker & Jacson Seran),Toton Caribo,1,https://www.youtube.com/watch?v=7KwE3if6Geg
