Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,1,Montagem Miau (Ultra Slowed),Lenar,4,n/a
2,17,CHANEL,Tyla,2,https://www.youtube.com/watch?v=xiZUf98A1Ts
3,6,FALL FROM THE SKY PT. 2,RomancePlanet & STAKILLAZ,6,https://www.youtube.com/watch?v=Cpc1akSzjPY
4,2,What You Is,YoungBoy Never Broke Again & Mellow Rackz,6,https://www.youtube.com/watch?v=5p29VznFXhg
5,9,From The Start,-Prey & ZMAJOR & zxnc & Emrld!,2,https://www.youtube.com/watch?v=sTHhz9LXdjw
6,8,All I Want for Christmas Is You,Mariah Carey,24,https://www.youtube.com/watch?v=aAkMkVFwAoo
7,3,MONTAGEM RUGADA,cape & JXNDRO & Sayfalse,8,https://www.youtube.com/watch?v=Hd5nXTyaXZg
8,5,Head Shot / Gas In The Truck,IShowSpeed,3,https://www.youtube.com/watch?v=HvYoohC9kVs
9,10,Doot Doot (6 7),Skrilla,23,https://www.youtube.com/watch?v=XnygT6ANLzQ
10,12,LET THE WORLD BURN,Chris Grey,3,https://www.youtube.com/watch?v=fdJrSjMgPFE
11,4,Ocean Eyes,Billie Eilish,11,https://www.youtube.com/watch?v=viimfQi_pUw
12,14,NO BATIDÃO,slxughter,3,https://www.youtube.com/watch?v=GXioir-fujY
13,11,Confess your love (feat. ola.wav),Jiandro,15,https://www.youtube.com/watch?v=LfHm50UJW6U
14,13,blue,yung kai,19,https://www.youtube.com/watch?v=IpFX2vq8HKw
15,15,Wish (Live),Trippie Redd & Diplo,7,https://www.youtube.com/watch?v=zOdKS_ayMyM
16,7,PIBBLE WASH MY BELLY FUNK,real wayne & aphonkus & DJ MOG,4,https://www.youtube.com/watch?v=HZqh9WwPVss
17,19,TURN UP,PlaqueBoyMax & Rakai & BunnaB,3,https://www.youtube.com/watch?v=7IsidEhdLa0
18,26,L O V E,Michael Bublé,11,https://www.youtube.com/watch?v=sdOvR6Io9Ao
19,18,Sugar On My Tongue,Tyler The Creator,14,https://www.youtube.com/watch?v=ljHdccyQbT4
20,24,MONTAGEM VOZES TALENTINHO (Super Slowed),heapper & DJ JUAN & Mc Luizinho,4,https://www.youtube.com/watch?v=RNElZfQ2zJA
21,n/a,I Left My Home,Jonathan Michael Fleming,1,https://www.youtube.com/watch?v=2ZpKUL3JRyA
22,n/a,Sleigh Ride,The Ronettes,1,https://www.youtube.com/watch?v=DkXIJe8CaIc
23,25,Dark Red (Funk Ultra Slowed),ZMAJOR & dearukia & SEKIMANE & zxnc,4,https://www.youtube.com/watch?v=zVxS9Jaj32o
24,20,Pitbull Terrier,Die Antwoord,5,https://www.youtube.com/watch?v=JvMXVHVr72A
25,23,DON`T STOP,GLXXMSTRIDER,6,https://www.youtube.com/watch?v=9ZeUei8IUxA
26,16,Hate Me,Ellie Goulding & Juice WRLD,4,https://www.youtube.com/watch?v=UZwi9SHgzGY
27,29,Riley,Juicy J & Lex Luger,2,https://www.youtube.com/watch?v=ZjgreqGLbqc
28,n/a,Should I Stay or Should I Go,The Clash,1,https://www.youtube.com/watch?v=xMaE6toi4mk
29,n/a,chess,Joyful  ,17,https://www.youtube.com/watch?v=w1cUk-jt8go
30,21,What's Up?,4 Non Blondes,6,https://www.youtube.com/watch?v=6NXnxTNIWkc
31,28,Game over!,Harris Cole,10,https://www.youtube.com/watch?v=fTQb5umb1dg
32,27,MONTAGEM COMA (Extreme Slowed),ANDROMEDA & elysian.,15,https://www.youtube.com/watch?v=EmmYDU3Rjpg
33,n/a,Now or Never,Halsey,1,https://www.youtube.com/watch?v=kzQTc0-iBX8
34,45,Stranger Things,Kyle Dixon & Michael Stein,2,https://www.youtube.com/watch?v=2obv0DHuhu4
35,33,CLIMA LINDO (SLOWED),GXMZ & Repsaj,14,https://www.youtube.com/watch?v=P12jBX75B48
36,n/a,do re mi (feat. Gucci Mane),blackbear,1,https://www.youtube.com/watch?v=dfzlUHOFQ5k
37,37,SEQUÊNCIA DE RITMADA 7,mc lipzl,2,https://www.youtube.com/watch?v=Ju3oZ8bjUV8
38,31,fragment (slowed),slxughter,3,https://www.youtube.com/watch?v=rngLO3tF2mA
39,48,Hello,OMFG,5,https://www.youtube.com/watch?v=aaIjs8K3oYo
40,n/a,Take It Off,Kesha,8,https://www.youtube.com/watch?v=edP0L6LQzZE
41,40,Vamos A Bailar,Yerba Brava,2,https://www.youtube.com/watch?v=Xw6GEzKiseA
42,22,Satisfied,Renee Elise Goldsberry & Original Broadway Cast of Hamilton,3,https://www.youtube.com/watch?v=InupuylYdcY
43,34,Epic Inspiration,AShamaluevMusic,7,https://www.youtube.com/watch?v=CvLHKUtcFg4
44,n/a,Gabriela,KATSEYE,1,https://www.youtube.com/watch?v=CjnB56tSCQI
45,46,Last Christmas,Wham!,14,https://www.youtube.com/watch?v=E8gmARGvPlI
46,47,Rockin' Around The Christmas Tree,Brenda Lee,15,https://www.youtube.com/watch?v=TFsZy9t-qDc
47,35,Shiny,Easykid & Dysbit,6,https://www.youtube.com/watch?v=SmFsXCEiGQA
48,n/a,Sienna,The Marías,1,https://www.youtube.com/watch?v=EiS7cKfuf6w
49,n/a,Before You Go,Lewis Capaldi,7,https://www.youtube.com/watch?v=Jtauh8GcxBY
50,n/a,BOA NOITE POVO (Remix),THEUZZIN & Mn de Niteroi & DJ MK De Niterói & 2L Motta,1,https://www.youtube.com/watch?v=S-zHpvxK_hs
