Rank,Previous Rank,Track Name,Artist Names,Periods on Chart,YouTube URL
1,1,Big Guy,Ice Spice,8,https://www.youtube.com/watch?v=7yaU0qXlgbo
2,2,Lush Life,Zara Larsson,7,https://www.youtube.com/watch?v=tD4HCZe-tew
3,4,Cheerleader (Felix Jaehn Remix),OMI,2,https://www.youtube.com/watch?v=jGflUbPQfW8
4,3,NO BATIDÃO,slxughter,12,https://www.youtube.com/watch?v=GXioir-fujY
5,n/a,Without Me,Halsey,1,https://www.youtube.com/watch?v=ZAfAud_M_mg
6,5,Montagem Miau (Ultra Slowed),Lenar,12,n/a
7,6,Internet Girl,KATSEYE,4,https://www.youtube.com/watch?v=5q9EjSUovc4
8,10,Cry For Me (WA WA WA) (feat. Bubi),Ironmouse & shirobeats & HalaCG,3,https://www.youtube.com/watch?v=J7Xzgcu6vVk
9,25,HEAVENLY JUMPSTYLE (Slowed),TWXNY & Sxilwix & INNXCENCE,2,https://www.youtube.com/watch?v=qVuwUR5_FsE
10,9,What You Saying,Lil Uzi Vert,2,https://www.youtube.com/watch?v=pwVEpinyTTQ
11,8,FALL FROM THE SKY PT. 2,RomancePlanet & STAKILLAZ,15,https://www.youtube.com/watch?v=Cpc1akSzjPY
12,14,Gozalo (Remix),Ariis,4,https://www.youtube.com/watch?v=GkqzojRVtGo
13,13,BOO,H3adband,5,https://www.youtube.com/watch?v=km5bgjATdCk
14,20,弥渡山歌（Midu Echoing),Yang Music - 羊音乐,8,https://www.youtube.com/watch?v=eIQqtWOA12c
15,36,There's Nothing Holdin' Me Back,Shawn Mendes,10,https://www.youtube.com/watch?v=dT2owtxkU8k
16,11,CHANEL,Tyla,11,https://www.youtube.com/watch?v=xiZUf98A1Ts
17,26,Hello,OMFG,11,https://www.youtube.com/watch?v=aaIjs8K3oYo
18,n/a,TIKI TIKI (Slowed),QMIIR & SALIMA CHICA,1,https://www.youtube.com/watch?v=bEYiPCbHAtM
19,7,I Thought I Saw Your Face Today,She & Him,3,https://www.youtube.com/watch?v=pyGU-UudvrM
20,18,Don't Mind,Kent Jones,8,https://www.youtube.com/watch?v=n49qi-dU9IE
21,19,i walk this earth all by myself,EKKSTACY,6,https://www.youtube.com/watch?v=uto7z_YEuaM
22,16,LET THE WORLD BURN,Chris Grey,12,https://www.youtube.com/watch?v=fdJrSjMgPFE
23,15,NOT CUTE ANYMORE,ILLIT,7,https://www.youtube.com/watch?v=x_RYZsOfpKY
24,17,What You Is,YoungBoy Never Broke Again & Mellow Rackz,15,https://www.youtube.com/watch?v=5p29VznFXhg
25,47,Stateside,PinkPantheress & Zara Larsson,2,https://www.youtube.com/watch?v=lIxQe1R5hs0
26,30,Phantom,EsDeeKid & Rico Ace,6,https://www.youtube.com/watch?v=hmdzniMJOZs
27,32,DON`T STOP,GLXXMSTRIDER,14,https://www.youtube.com/watch?v=9ZeUei8IUxA
28,35,Epic Inspiration,AShamaluevMusic,14,https://www.youtube.com/watch?v=CvLHKUtcFg4
29,23,End of Beginning,Djo,11,https://www.youtube.com/watch?v=oXSw8DGjf5E
30,n/a,Bounce (I Just Wanna Dance),Frozy & Joyful  ,17,https://www.youtube.com/watch?v=S2DLrhb-078
31,n/a,Upside Down,Diana Ross,3,https://www.youtube.com/watch?v=hDHW5wXBvLw
32,n/a,Want U Back,Cher Lloyd,1,https://www.youtube.com/watch?v=LPgvNlrBfb0
33,24,From The Start,-Prey & ZMAJOR & zxnc & Emrld!,11,https://www.youtube.com/watch?v=sTHhz9LXdjw
34,27,BI,KISLOTV,11,https://www.youtube.com/watch?v=fQAovWwAtws
35,12,King For A Day (feat. Kellin Quinn),Pierce The Veil,3,https://www.youtube.com/watch?v=icXUkIfZxyg
36,n/a,Memory Reboot,VØJ & Narvent,16,https://www.youtube.com/watch?v=wL8DVHuWI7Y
37,22,Riley,Juicy J & Lex Luger,11,https://www.youtube.com/watch?v=ZjgreqGLbqc
38,33,Cooler Than Me,Mike Posner,22,https://www.youtube.com/watch?v=mqWq_48LxWQ
39,34,Stranger Things,Kyle Dixon & Michael Stein,10,https://www.youtube.com/watch?v=2obv0DHuhu4
40,49,That's What I Like,Bruno Mars,2,https://www.youtube.com/watch?v=PMivT7MJ41M
41,21,Savage,Megan Thee Stallion,4,https://www.youtube.com/watch?v=lkQ6uHr0TQE
42,45,fragment (slowed),slxughter,11,https://www.youtube.com/watch?v=rngLO3tF2mA
43,28,LUA NA PRAÇA,Dj Samir & DJ Zarek & Dj Duda & LUNxdiE,9,https://www.youtube.com/watch?v=iLfVnU23E34
44,n/a,Atlantis,Seafret,4,https://www.youtube.com/watch?v=gVAy3IZiL0s
45,42,FUNK DO SURPRISE,KXZINVK & Mc Roba Cena & MC Da 12,6,https://www.youtube.com/watch?v=LGWhlUL2ejQ
46,44,Funny,Gold-Tiger,3,https://www.youtube.com/watch?v=5kgl9773BT4
47,31,Took Her To The O (Audiomack Fine Tuned Version),King Von,4,https://www.youtube.com/watch?v=zEF4pn_4wcI
48,37,Slash Inferno,Waterflame & Teminite & Boom Kitty & Autodidactic Studios,8,https://www.youtube.com/watch?v=X9FMvw8V6ZY
49,n/a,Trap Queen,Fetty Wap,1,https://www.youtube.com/watch?v=i_kF4zLNKio
50,39,Wish (Live),Trippie Redd & Diplo,16,https://www.youtube.com/watch?v=zOdKS_ayMyM
